,pca1,pca2,label,albumName,albumImage,artisName,songTitle,acousticness,danceability,liveness,loudness,speechiness
0,-0.23925015291147037,-0.21255614221296582,1,Feel It Still,https://i.scdn.co/image/ab67616d0000b273e2fdc4cae88a854b214b35ac,Portugal. The Man,Feel It Still,0.0406,0.78,0.0733,-5.151,0.0613
1,0.6938412057162904,-0.031610030314166905,0,Sirens,https://i.scdn.co/image/ab67616d0000b27349475edb3246013fcb59e903,Nicolas Jaar,No,0.802,0.583,0.139,-15.926,0.392
2,-0.08452779176004561,0.2347733807198309,2,Flume (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273f470c866af5b9fa0e632c15d,Flume,Bring You Down,0.236,0.436,0.364,-6.703,0.0274
3,0.14748118104833935,-0.0722119054646706,1,The North Borders,https://i.scdn.co/image/ab67616d0000b273b033087945225272e885808c,Bonobo,Cirrus,0.395,0.64,0.0827,-8.412,0.0374
4,0.1896782163358665,-0.0888454378888439,1,Woman,https://i.scdn.co/image/ab67616d0000b273b4a8b91ec6ba32b9fc03d58c,Rhye,The Fall,0.342,0.652,0.177,-12.733,0.038
5,-0.2607370880203139,-0.06856029299564668,2,I'm Leaving,https://i.scdn.co/image/ab67616d0000b2738626d921736c3e08d43c3dbf,IS TROPICAL,Dancing Anymore,0.000425,0.561,0.121,-6.59,0.0274
6,-0.05389762568048457,-0.03432114143665587,1,Tohu Bohu,https://i.scdn.co/image/ab67616d0000b2737a18bbb784cdf712fe0ab9a3,Rone,Bye Bye Macadam,0.107,0.593,0.277,-12.042,0.0626
7,-0.37221364823794245,0.2586260186061736,2,Tape Two,https://i.scdn.co/image/ab67616d0000b273505b95ce2a8dd28699527394,Young Fathers,Queen Is Dead,0.00361,0.367,0.379,-3.273,0.253
8,-0.23131595908187297,0.18435108030743932,2,White Men Are Black Men Too,https://i.scdn.co/image/ab67616d0000b273c3bbcb29b39f3c79a701c2f0,Young Fathers,Dare Me,0.143,0.521,0.349,-3.654,0.0924
9,-0.27597855071709515,0.04568638760142223,2,White Men Are Black Men Too,https://i.scdn.co/image/ab67616d0000b273c3bbcb29b39f3c79a701c2f0,Young Fathers,Nest,0.0463,0.504,0.18,-4.625,0.042
10,0.09672990821807555,0.12601634769154751,2,Skin,https://i.scdn.co/image/ab67616d0000b2739eca0fdd60e06268050103e5,Flume,Never Be Like You,0.436,0.494,0.164,-5.445,0.0565
11,-0.2596603012517238,-0.019773080676466204,2,For Crying Out Loud (Deluxe),https://i.scdn.co/image/ab67616d0000b273a3070377fc047ec055351d3b,Kasabian,Wasted,0.0108,0.577,0.206,-6.662,0.0392
12,0.09760411484450614,-0.23754197484361786,1,More Life,https://i.scdn.co/image/ab67616d0000b2735ea859dc94365abd9fd84fd6,Drake,Passionfruit,0.256,0.809,0.109,-11.377,0.0396
13,0.04661853423499743,-0.25741803760059634,1,7,https://i.scdn.co/image/ab67616d0000b273a95e48ee035e4b6f22c807cf,Paul Kalkbrenner,Cloud Rider,0.137,0.749,0.12,-13.978,0.0299
14,0.6528343693179794,0.11447501303020029,0,Someone That Loves You (Late Night Version),https://i.scdn.co/image/ab67616d0000b27307668980ae9b006b5e7f61f9,HONNE,Someone That Loves You - Late Night Version,0.904,0.516,0.103,-10.777,0.04
15,-0.22575779107535926,-0.03192432033498043,1,Summer,https://i.scdn.co/image/ab67616d0000b27385f11e3e8dd4f6aab443e573,I Heart Sharks,Suburbia,0.0214,0.619,0.246,-7.839,0.0306
16,-0.21954252297073776,0.2166797262199755,2,Summer,https://i.scdn.co/image/ab67616d0000b27385f11e3e8dd4f6aab443e573,I Heart Sharks,Summer,0.14,0.44,0.335,-4.408,0.0694
17,0.586127840538044,0.035618767193209666,0,Sweet Sweet Silent,https://i.scdn.co/image/ab67616d0000b273f7948b320b2f876ac3e8b919,Sivu,Submersible,0.755,0.496,0.0811,-13.567,0.041
18,0.005920421421404044,0.2113622757910559,2,Gary Clark Jr. Live,https://i.scdn.co/image/ab67616d0000b27343d079274c5ea12ff1d0ba47,Gary Clark Jr.,Catfish Blues - Live,0.353,0.311,0.14,-5.074,0.0368
19,0.3831234717825681,-0.08803876402877868,0,Milk It,https://i.scdn.co/image/ab67616d0000b2732357d0f0fd64070f2ba4c6ed,Death In Vegas,All That Glitters,0.586,0.686,0.09,-10.977,0.0805
20,0.0023560984618754104,-0.2741674963238523,1,Boy Meets World,https://i.scdn.co/image/ab67616d0000b2736a09684a06ad63c6fc8c9806,Fashawn,Life As A Shorty (feat. J. Mitchell),0.124,0.755,0.107,-12.009,0.353
21,0.3561858917352216,0.0759838185502336,0,Rap Album Two,https://i.scdn.co/image/ab67616d0000b27364a8010685a730392d09658d,Jonwayne,Afraid of Us,0.69,0.682,0.198,-6.429,0.107
22,-0.33355244288950225,0.6009005742452826,2,"Men's Needs, Women's Needs, Whatever (Standard Version)",https://i.scdn.co/image/ab67616d0000b273e22ecf7415c6de73649b00e9,The Cribs,Be Safe,0.0904,0.183,0.672,-3.851,0.126
23,-0.3226068215210217,0.5479258301798734,2,Standing On The Shoulder Of Giants,https://i.scdn.co/image/ab67616d0000b273ce2be7cd7f7d3b3280faae02,Oasis,Fuckin' In the Bushes,0.00134,0.374,0.891,-8.645,0.0477
24,0.27323060647248226,0.34598189659415846,0,Ruinism,https://i.scdn.co/image/ab67616d0000b273d31ba155920008711196a00e,Lapalux,Rotted Arp,0.53,0.206,0.292,-10.709,0.0561
25,-0.20518048793597468,-0.35856077893895527,1,Pimpernuckel,https://i.scdn.co/image/60645131ac1e6e75dc24080fec7a452491ddaf50,Alec Troniq,Pimpernuckel (Original Mix),0.000839,0.938,0.0755,-7.753,0.0755
26,-0.313199026381627,0.18219749366030624,2,Box Car Racer,https://i.scdn.co/image/ab67616d0000b2738d36e61ba8638210ffdd86db,Box Car Racer,I Feel So,0.0472,0.448,0.323,-3.779,0.146
27,-0.3044580579106416,0.011948994515779493,2,The Shining Instrumental,https://i.scdn.co/image/ab67616d0000b27300a6e51b20d4e59ee7dce64f,J Dilla,So Far To Go,0.00283,0.713,0.358,-5.63,0.0283
28,-0.05322695751270115,-0.1151829007935057,1,Views/Octopus EP,https://i.scdn.co/image/ab67616d0000b273cef7d8e9957c127ef104018a,Nosaj Thing,Aquarium,0.15,0.635,0.129,-9.521,0.0484
29,-0.2890479370444047,-0.16500137979643087,1,The Renegade EP,https://i.scdn.co/image/ab67616d0000b273a3cdca0d1ad4bb2ed72fcc7d,Friend Within,The Renegade,0.00683,0.779,0.146,-4.734,0.0652
30,-0.3684873179507755,0.20819269210387842,2,California,https://i.scdn.co/image/ab67616d0000b2739884fb067234d2036b830429,blink-182,San Diego,0.000816,0.478,0.394,-3.644,0.0778
31,-0.24448033119510643,0.14856152021106667,2,Trip,https://i.scdn.co/image/ab67616d0000b273c52b7822e33bb65582212c28,Charlotte de Witte,Trip - Original Mix,0.00202,0.76,0.693,-9.924,0.0666
32,-0.07105683431069273,-0.014584774373490953,1,Lese Majesty,https://i.scdn.co/image/ab67616d0000b273fa29ece03890176bc31adf8f,Shabazz Palaces,Forerunner Foray,0.123,0.421,0.122,-9.932,0.247
